Date,Gender,Age,Conducted,Passed,Pass rate (Percentage)
2018 to 2019,Male,49,"2,211",946,42.8
2018 to 2019,Male,50,"1,855",758,40.9
2018 to 2019,Male,51,"1,570",586,37.3
2018 to 2019,Male,52,"1,383",540,39.0
2018 to 2019,Male,53,"1,343",530,39.5
2018 to 2019,Male,54,"1,101",455,41.3
2018 to 2019,Male,55,948,363,38.3
2018 to 2019,Male,56,776,334,43.0
2018 to 2019,Male,57,717,259,36.1
2018 to 2019,Male,58,641,238,37.1
2018 to 2019,Male,59,461,172,37.3
2018 to 2019,Male,60,344,139,40.4
2018 to 2019,Male,61 and over,"1,808",742,41.0
2018 to 2019,Male,Total,"779,980","386,889",49.6
2018 to 2019,Male,Unknown,18,5,27.8
2018 to 2019,Total,16,105,57,54.3
2018 to 2019,Total,17,"307,283","171,608",55.8
2018 to 2019,Total,18,"221,801","105,605",47.6
2018 to 2019,Total,19,"128,225","57,951",45.2
2018 to 2019,Total,20,"93,929","42,222",45.0
2018 to 2019,Total,21,"82,193","37,410",45.5
2018 to 2019,Total,22,"75,021","34,873",46.5
2018 to 2019,Total,23,"66,695","30,836",46.2
2018 to 2019,Total,24,"58,118","26,702",45.9
2018 to 2019,Total,25,"51,557","23,576",45.7
2018 to 2019,Total,26,"47,694","21,482",45.0
2018 to 2019,Total,27,"42,955","19,132",44.5
2018 to 2019,Total,28,"41,423","17,780",42.9
2018 to 2019,Total,29,"39,379","16,641",42.3
2018 to 2019,Total,30,"37,965","15,786",41.6
2018 to 2019,Total,31,"36,129","14,972",41.4
2018 to 2019,Total,32,"33,687","13,672",40.6
2018 to 2019,Total,33,"31,875","12,680",39.8
2018 to 2019,Total,34,"29,566","11,729",39.7
2018 to 2019,Total,35,"27,235","10,549",38.7
2018 to 2019,Total,36,"25,064","9,592",38.3
2018 to 2019,Total,37,"22,601","8,718",38.6
2018 to 2019,Total,38,"20,976","7,854",37.4
2018 to 2019,Total,39,"17,691","6,637",37.5
2018 to 2019,Total,40,"15,274","5,594",36.6
2018 to 2019,Total,41,"13,606","4,763",35.0
2018 to 2019,Total,42,"12,172","4,337",35.6
2018 to 2019,Total,43,"10,687","3,846",36.0
2018 to 2019,Total,44,"9,509","3,356",35.3
2018 to 2019,Total,45,"8,172","2,864",35.0
2018 to 2019,Total,46,"7,082","2,516",35.5
2018 to 2019,Total,47,"6,252","2,213",35.4
2018 to 2019,Total,48,"6,028","2,053",34.1
2018 to 2019,Total,49,"5,266","1,882",35.7
2018 to 2019,Total,50,"4,576","1,582",34.6
2018 to 2019,Total,51,"3,837","1,273",33.2
2018 to 2019,Total,52,"3,226","1,098",34.0
2018 to 2019,Total,53,"3,096","1,067",34.5
2018 to 2019,Total,54,"2,852",952,33.4
2018 to 2019,Total,55,"2,359",811,34.4
2018 to 2019,Total,56,"2,041",682,33.4
2018 to 2019,Total,57,"1,749",575,32.9
2018 to 2019,Total,58,"1,447",485,33.5
2018 to 2019,Total,59,"1,083",357,33.0
2018 to 2019,Total,60,829,259,31.2
2018 to 2019,Total,61 and over,"3,875","1,333",34.4
2018 to 2019,Total,Total,"1,664,219","761,972",45.8
2018 to 2019,Total,Unknown,34,10,29.4
2019 to 2020,Female,16,35,15,42.9
2019 to 2020,Female,17,"147,994","79,897",54.0
2019 to 2020,Female,18,"106,551","48,944",45.9
2019 to 2020,Female,19,"61,654","26,372",42.8
2019 to 2020,Female,20,"45,564","19,151",42.0
2019 to 2020,Female,21,"39,677","16,988",42.8
2019 to 2020,Female,22,"37,555","16,315",43.4
2019 to 2020,Female,23,"33,465","14,405",43.0
2019 to 2020,Female,24,"28,549","12,125",42.5
2019 to 2020,Female,25,"26,155","10,884",41.6
2019 to 2020,Female,26,"23,187","9,638",41.6
2019 to 2020,Female,27,"21,520","8,953",41.6
2019 to 2020,Female,28,"20,472","8,137",39.7
2019 to 2020,Female,29,"20,325","7,995",39.3
2019 to 2020,Female,30,"19,320","7,437",38.5
2019 to 2020,Female,31,"19,333","7,118",36.8
2019 to 2020,Female,32,"18,650","6,803",36.5
2019 to 2020,Female,33,"17,339","6,300",36.3
2019 to 2020,Female,34,"16,216","5,707",35.2
2019 to 2020,Female,35,"15,005","5,252",35.0
2019 to 2020,Female,36,"14,164","4,804",33.9
2019 to 2020,Female,37,"12,722","4,309",33.9
2019 to 2020,Female,38,"11,497","3,917",34.1
2019 to 2020,Female,39,"10,631","3,483",32.8
2019 to 2020,Female,40,"9,084","2,913",32.1
2019 to 2020,Female,41,"7,645","2,466",32.3
2019 to 2020,Female,42,"6,845","2,123",31.0
2019 to 2020,Female,43,"6,151","1,884",30.6
2019 to 2020,Female,44,"5,278","1,651",31.3
2019 to 2020,Female,45,"4,452","1,379",31.0
2019 to 2020,Female,46,"3,961","1,192",30.1
2019 to 2020,Female,47,"3,627","1,148",31.7
2019 to 2020,Female,48,"3,115",963,30.9
2019 to 2020,Female,49,"2,797",839,30.0
2019 to 2020,Female,50,"2,304",735,31.9
2019 to 2020,Female,51,"2,222",639,28.8
2019 to 2020,Female,52,"1,787",542,30.3
2019 to 2020,Female,53,"1,575",503,31.9
2019 to 2020,Female,54,"1,390",420,30.2
2019 to 2020,Female,55,"1,220",380,31.1
2019 to 2020,Female,56,"1,249",374,29.9
2019 to 2020,Female,57,"1,046",296,28.3
2019 to 2020,Female,58,803,242,30.1
2019 to 2020,Female,59,561,163,29.1
2019 to 2020,Female,60,522,147,28.2
2019 to 2020,Female,61 and over,"1,971",591,30.0
2019 to 2020,Female,Total,"837,193","356,542",42.6
2019 to 2020,Female,Unknown,8,3,37.5
2019 to 2020,Male,16,108,54,50.0
2019 to 2020,Male,17,"160,730","92,301",57.4
2019 to 2020,Male,18,"105,087","51,882",49.4
2019 to 2020,Male,19,"59,777","28,629",47.9
2019 to 2020,Male,20,"42,694","20,354",47.7
2019 to 2020,Male,21,"36,100","17,659",48.9
2019 to 2020,Male,22,"32,491","16,132",49.7
2019 to 2020,Male,23,"28,680","14,362",50.1
2019 to 2020,Male,24,"25,495","12,740",50.0
2019 to 2020,Male,25,"23,452","11,512",49.1
2019 to 2020,Male,26,"20,847","10,291",49.4
2019 to 2020,Male,27,"18,781","9,304",49.5
2019 to 2020,Male,28,"17,755","8,527",48.0
2019 to 2020,Male,29,"17,226","8,114",47.1
2019 to 2020,Male,30,"15,831","7,511",47.4
2019 to 2020,Male,31,"15,711","7,208",45.9
2019 to 2020,Male,32,"14,088","6,572",46.6
2019 to 2020,Male,33,"13,187","6,037",45.8
2019 to 2020,Male,34,"12,256","5,573",45.5
2019 to 2020,Male,35,"11,384","4,971",43.7
2019 to 2020,Male,36,"10,787","4,838",44.9
2019 to 2020,Male,37,"9,547","4,194",43.9
2019 to 2020,Male,38,"8,668","3,798",43.8
2019 to 2020,Male,39,"8,018","3,496",43.6
2019 to 2020,Male,40,"6,667","2,889",43.3
2019 to 2020,Male,41,"5,881","2,530",43.0
2019 to 2020,Male,42,"5,095","2,092",41.1
2019 to 2020,Male,43,"4,598","1,913",41.6
2019 to 2020,Male,44,"4,123","1,706",41.4
2019 to 2020,Male,45,"3,593","1,417",39.4
2019 to 2020,Male,46,"3,175","1,258",39.6
2019 to 2020,Male,47,"2,941","1,196",40.7
2019 to 2020,Male,48,"2,391",965,40.4
2019 to 2020,Male,49,"2,230",895,40.1
2019 to 2020,Male,50,"1,733",698,40.3
2019 to 2020,Male,51,"1,697",660,38.9
2019 to 2020,Male,52,"1,439",566,39.3
2019 to 2020,Male,53,"1,239",497,40.1
2019 to 2020,Male,54,"1,024",407,39.7
2019 to 2020,Male,55,959,381,39.7
2019 to 2020,Male,56,781,299,38.3
2019 to 2020,Male,57,665,273,41.1
2019 to 2020,Male,58,586,221,37.7
2019 to 2020,Male,59,516,214,41.5
2019 to 2020,Male,60,451,158,35.0
2019 to 2020,Male,61 and over,"1,811",739,40.8
2019 to 2020,Male,Total,"762,303","378,034",49.6
2019 to 2020,Male,Unknown,8,1,12.5
2019 to 2020,Total,16,143,69,48.3
2019 to 2020,Total,17,"308,725","172,199",55.8
2019 to 2020,Total,18,"211,639","100,826",47.6
2019 to 2020,Total,19,"121,432","55,002",45.3
2019 to 2020,Total,20,"88,262","39,507",44.8
2019 to 2020,Total,21,"75,785","34,649",45.7
2019 to 2020,Total,22,"70,048","32,448",46.3
2019 to 2020,Total,23,"62,147","28,767",46.3
2019 to 2020,Total,24,"54,048","24,866",46.0
2019 to 2020,Total,25,"49,614","22,398",45.1
2019 to 2020,Total,26,"44,037","19,930",45.3
2019 to 2020,Total,27,"40,304","18,259",45.3
2019 to 2020,Total,28,"38,228","16,665",43.6
2019 to 2020,Total,29,"37,558","16,112",42.9
2019 to 2020,Total,30,"35,154","14,949",42.5
2019 to 2020,Total,31,"35,045","14,327",40.9
2019 to 2020,Total,32,"32,740","13,375",40.9
2019 to 2020,Total,33,"30,529","12,338",40.4
2019 to 2020,Total,34,"28,473","11,281",39.6
2019 to 2020,Total,35,"26,391","10,224",38.7
2019 to 2020,Total,36,"24,953","9,642",38.6
2019 to 2020,Total,37,"22,269","8,503",38.2
2019 to 2020,Total,38,"20,168","7,715",38.3
2019 to 2020,Total,39,"18,649","6,979",37.4
2019 to 2020,Total,40,"15,751","5,802",36.8
2019 to 2020,Total,41,"13,526","4,996",36.9
2019 to 2020,Total,42,"11,940","4,215",35.3
2019 to 2020,Total,43,"10,749","3,797",35.3
2019 to 2020,Total,44,"9,402","3,357",35.7
2019 to 2020,Total,45,"8,047","2,797",34.8
2019 to 2020,Total,46,"7,136","2,450",34.3
2019 to 2020,Total,47,"6,571","2,344",35.7
2019 to 2020,Total,48,"5,506","1,928",35.0
2019 to 2020,Total,49,"5,027","1,734",34.5
2019 to 2020,Total,50,"4,040","1,434",35.5
2019 to 2020,Total,51,"3,919","1,299",33.1
2019 to 2020,Total,52,"3,226","1,108",34.3
2019 to 2020,Total,53,"2,814","1,000",35.5
2019 to 2020,Total,54,"2,414",827,34.3
2019 to 2020,Total,55,"2,179",761,34.9
2019 to 2020,Total,56,"2,030",673,33.2
2019 to 2020,Total,57,"1,711",569,33.3
2019 to 2020,Total,58,"1,389",463,33.3
2019 to 2020,Total,59,"1,077",377,35.0
2019 to 2020,Total,60,973,305,31.3
2019 to 2020,Total,61 and over,"3,782","1,330",35.2
2019 to 2020,Total,Total,"1,599,566","734,600",45.9
2019 to 2020,Total,Unknown,16,4,25.0
2020 to 2021,Female,18,"38,925","20,578",52.9
2020 to 2021,Female,19,"17,391","8,088",46.5
2020 to 2021,Female,20,"11,570","5,206",45.0
2020 to 2021,Female,21,"9,785","4,475",45.7
2020 to 2021,Female,22,"9,634","4,446",46.1
2020 to 2021,Female,23,"8,759","4,073",46.5
2020 to 2021,Female,24,"7,186","3,299",45.9
2020 to 2021,Female,25,"6,296","2,853",45.3
2020 to 2021,Female,26,"5,925","2,646",44.7
2020 to 2021,Female,27,"5,228","2,231",42.7
2020 to 2021,Female,28,"4,988","2,121",42.5
2020 to 2021,Female,29,"4,669","1,932",41.4
2020 to 2021,Female,30,"4,460","1,853",41.5
2020 to 2021,Female,31,"4,343","1,708",39.3
2020 to 2021,Female,32,"4,300","1,643",38.2
2020 to 2021,Female,33,"3,979","1,527",38.4
2020 to 2021,Female,34,"3,879","1,417",36.5
2020 to 2021,Female,35,"3,505","1,290",36.8
2020 to 2021,Female,36,"3,309","1,184",35.8
2020 to 2021,Female,37,"2,952","1,049",35.5
2020 to 2021,Female,38,"2,720",946,34.8
2020 to 2021,Female,39,"2,397",817,34.1
2020 to 2021,Female,40,"2,326",766,32.9
2020 to 2021,Female,41,"1,815",601,33.1
2020 to 2021,Female,42,"1,572",464,29.5
2020 to 2021,Female,43,"1,409",456,32.4
2020 to 2021,Female,44,"1,242",390,31.4
2020 to 2021,Female,45,"1,147",344,30.0
2020 to 2021,Female,46,907,311,34.3
2020 to 2021,Female,47,829,243,29.3
2020 to 2021,Female,48,675,217,32.1
2020 to 2021,Female,49,610,185,30.3
2020 to 2021,Female,50,525,162,30.9
2020 to 2021,Female,51,501,133,26.5
2020 to 2021,Female,52,439,126,28.7
2020 to 2021,Female,53,369,116,31.4
2020 to 2021,Female,54,297,87,29.3
2020 to 2021,Female,55,304,86,28.3
2020 to 2021,Female,56,234,59,25.2
2020 to 2021,Female,57,239,61,25.5
2020 to 2021,Female,58,215,59,27.4
2020 to 2021,Female,59,133,40,30.1
2020 to 2021,Female,17 and under,"36,658","22,804",62.2
2020 to 2021,Female,60 and over,525,138,26.3
2020 to 2021,Female,Total,"219,171","103,230",47.1
2020 to 2021,Female,Unknown,0,0,[z]
2020 to 2021,Male,18,"37,171","20,318",54.7
2020 to 2021,Male,19,"16,736","8,373",50.0
2020 to 2021,Male,20,"11,112","5,484",49.4
2020 to 2021,Male,21,"8,931","4,538",50.8
2020 to 2021,Male,22,"8,150","4,111",50.4
2020 to 2021,Male,23,"7,632","3,909",51.2
2020 to 2021,Male,24,"6,666","3,415",51.2
2020 to 2021,Male,25,"6,085","3,161",51.9
2020 to 2021,Male,26,"5,575","2,788",50.0
2020 to 2021,Male,27,"5,241","2,604",49.7
2020 to 2021,Male,28,"4,803","2,385",49.7
2020 to 2021,Male,29,"4,754","2,252",47.4
2020 to 2021,Male,30,"4,887","2,287",46.8
2020 to 2021,Male,31,"4,458","2,102",47.2
2020 to 2021,Male,32,"4,271","2,041",47.8
2020 to 2021,Male,33,"4,098","1,932",47.1
2020 to 2021,Male,34,"3,824","1,727",45.2
2020 to 2021,Male,35,"3,556","1,610",45.3
2020 to 2021,Male,36,"3,157","1,462",46.3
2020 to 2021,Male,37,"2,847","1,275",44.8
2020 to 2021,Male,38,"2,652","1,172",44.2
2020 to 2021,Male,39,"2,289","1,005",43.9
2020 to 2021,Male,40,"2,128",921,43.3
2020 to 2021,Male,41,"1,817",753,41.4
2020 to 2021,Male,42,"1,465",605,41.3
2020 to 2021,Male,43,"1,340",579,43.2
2020 to 2021,Male,44,"1,242",507,40.8
2020 to 2021,Male,45,"1,086",438,40.3
2020 to 2021,Male,46,976,401,41.1
2020 to 2021,Male,47,773,332,42.9
2020 to 2021,Male,48,717,298,41.6
2020 to 2021,Male,49,637,253,39.7
2020 to 2021,Male,50,558,212,38.0
2020 to 2021,Male,51,498,195,39.2
2020 to 2021,Male,52,371,141,38.0
2020 to 2021,Male,53,311,120,38.6
2020 to 2021,Male,54,263,97,36.9
2020 to 2021,Male,55,247,95,38.5
2020 to 2021,Male,56,197,72,36.5
2020 to 2021,Male,57,180,63,35.0
2020 to 2021,Male,58,156,60,38.5
2020 to 2021,Male,59,118,49,41.5
2020 to 2021,Male,17 and under,"43,613","28,204",64.7
2020 to 2021,Male,60 and over,499,197,39.5
2020 to 2021,Male,Total,"218,087","114,543",52.5
2020 to 2021,Male,Unknown,0,0,[z]
2020 to 2021,Total,18,"76,097","40,897",53.7
2020 to 2021,Total,19,"34,127","16,461",48.2
2020 to 2021,Total,20,"22,684","10,691",47.1
2020 to 2021,Total,21,"18,718","9,014",48.2
2020 to 2021,Total,22,"17,795","8,560",48.1
2020 to 2021,Total,23,"16,393","7,983",48.7
2020 to 2021,Total,24,"13,857","6,715",48.5
2020 to 2021,Total,25,"12,386","6,018",48.6
2020 to 2021,Total,26,"11,500","5,434",47.3
2020 to 2021,Total,27,"10,470","4,836",46.2
2020 to 2021,Total,28,"9,792","4,507",46.0
2020 to 2021,Total,29,"9,427","4,185",44.4
2020 to 2021,Total,30,"9,353","4,141",44.3
2020 to 2021,Total,31,"8,806","3,811",43.3
2020 to 2021,Total,32,"8,575","3,684",43.0
2020 to 2021,Total,33,"8,085","3,462",42.8
2020 to 2021,Total,34,"7,704","3,144",40.8
2020 to 2021,Total,35,"7,068","2,901",41.0
2020 to 2021,Total,36,"6,467","2,646",40.9
2020 to 2021,Total,37,"5,800","2,324",40.1
2020 to 2021,Total,38,"5,372","2,118",39.4
2020 to 2021,Total,39,"4,688","1,823",38.9
2020 to 2021,Total,40,"4,455","1,688",37.9
2020 to 2021,Total,41,"3,638","1,356",37.3
2020 to 2021,Total,42,"3,039","1,070",35.2
2020 to 2021,Total,43,"2,749","1,035",37.7
2020 to 2021,Total,44,"2,485",898,36.1
2020 to 2021,Total,45,"2,234",782,35.0
2020 to 2021,Total,46,"1,883",712,37.8
2020 to 2021,Total,47,"1,602",575,35.9
2020 to 2021,Total,48,"1,392",515,37.0
2020 to 2021,Total,49,"1,247",438,35.1
2020 to 2021,Total,50,"1,086",374,34.4
2020 to 2021,Total,51,999,328,32.8
2020 to 2021,Total,52,810,267,33.0
2020 to 2021,Total,53,681,237,34.8
2020 to 2021,Total,54,560,184,32.9
2020 to 2021,Total,55,551,181,32.8
2020 to 2021,Total,56,431,131,30.4
2020 to 2021,Total,57,419,124,29.6
2020 to 2021,Total,58,372,119,32.0
2020 to 2021,Total,59,251,89,35.5
2020 to 2021,Total,17 and under,"80,275","51,011",63.5
2020 to 2021,Total,60 and over,"1,024",335,32.7
2020 to 2021,Total,Total,"437,352","217,807",49.8
2020 to 2021,Total,Unknown,5,3,60.0
2021 to 2022,Female,18,"139,507","74,735",53.6
2021 to 2022,Female,19,"70,141","33,492",47.7
2021 to 2022,Female,20,"44,850","20,496",45.7
2021 to 2022,Female,21,"35,492","16,280",45.9
2021 to 2022,Female,22,"32,242","14,908",46.2
2021 to 2022,Female,23,"29,355","13,622",46.4
2021 to 2022,Female,24,"25,954","11,831",45.6
2021 to 2022,Female,25,"22,694","10,293",45.4
2021 to 2022,Female,26,"20,437","9,119",44.6
2021 to 2022,Female,27,"18,409","8,122",44.1
2021 to 2022,Female,28,"16,909","7,202",42.6
2021 to 2022,Female,29,"15,805","6,640",42.0
2021 to 2022,Female,30,"15,601","6,419",41.1
2021 to 2022,Female,31,"15,353","6,171",40.2
2021 to 2022,Female,32,"14,664","5,718",39.0
2021 to 2022,Female,33,"14,125","5,449",38.6
2021 to 2022,Female,34,"13,504","5,059",37.5
2021 to 2022,Female,35,"12,421","4,539",36.5
2021 to 2022,Female,36,"11,325","4,127",36.4
2021 to 2022,Female,37,"10,417","3,748",36.0
2021 to 2022,Female,38,"9,193","3,334",36.3
2021 to 2022,Female,39,"8,594","2,950",34.3
2021 to 2022,Female,40,"7,445","2,617",35.2
2021 to 2022,Female,41,"6,821","2,298",33.7
2021 to 2022,Female,42,"5,910","1,982",33.5
2021 to 2022,Female,43,"4,794","1,662",34.7
2021 to 2022,Female,44,"4,110","1,403",34.1
2021 to 2022,Female,45,"3,710","1,225",33.0
2021 to 2022,Female,46,"3,333","1,052",31.6
2021 to 2022,Female,47,"2,665",933,35.0
2021 to 2022,Female,48,"2,331",753,32.3
2021 to 2022,Female,49,"2,031",704,34.7
2021 to 2022,Female,50,"1,782",606,34.0
2021 to 2022,Female,51,"1,566",541,34.5
2021 to 2022,Female,52,"1,391",466,33.5
2021 to 2022,Female,53,"1,294",440,34.0
2021 to 2022,Female,54,"1,058",346,32.7
2021 to 2022,Female,55,875,291,33.3
2021 to 2022,Female,56,783,254,32.4
2021 to 2022,Female,57,679,213,31.4
2021 to 2022,Female,58,599,196,32.7
2021 to 2022,Female,59,458,150,32.8
2021 to 2022,Female,17 and under,"94,385","55,719",59.0
2021 to 2022,Female,60 and over,"1,638",473,28.9
2021 to 2022,Female,Total,"746,650","348,578",46.7
2021 to 2022,Female,Unknown,[c]],[c],[c]
2021 to 2022,Male,18,"142,299","79,685",56.0
2021 to 2022,Male,19,"72,182","36,594",50.7
2021 to 2022,Male,20,"45,562","22,502",49.4
2021 to 2022,Male,21,"35,495","17,541",49.4
2021 to 2022,Male,22,"31,290","15,530",49.6
2021 to 2022,Male,23,"28,520","14,222",49.9
2021 to 2022,Male,24,"25,800","12,825",49.7
2021 to 2022,Male,25,"23,726","11,729",49.4
2021 to 2022,Male,26,"21,538","10,533",48.9
2021 to 2022,Male,27,"19,685","9,723",49.4
2021 to 2022,Male,28,"18,874","9,103",48.2
2021 to 2022,Male,29,"17,887","8,574",47.9
2021 to 2022,Male,30,"17,148","8,132",47.4
2021 to 2022,Male,31,"17,284","8,125",47.0
2021 to 2022,Male,32,"15,679","7,213",46.0
2021 to 2022,Male,33,"15,363","7,050",45.9
2021 to 2022,Male,34,"14,050","6,426",45.7
2021 to 2022,Male,35,"13,291","5,885",44.3
2021 to 2022,Male,36,"12,008","5,391",44.9
2021 to 2022,Male,37,"10,972","4,816",43.9
2021 to 2022,Male,38,"9,941","4,238",42.6
2021 to 2022,Male,39,"9,000","3,902",43.4
2021 to 2022,Male,40,"8,015","3,373",42.1
2021 to 2022,Male,41,"7,373","3,133",42.5
2021 to 2022,Male,42,"6,295","2,619",41.6
2021 to 2022,Male,43,"5,456","2,247",41.2
2021 to 2022,Male,44,"4,590","1,905",41.5
2021 to 2022,Male,45,"4,036","1,588",39.3
2021 to 2022,Male,46,"3,704","1,457",39.3
2021 to 2022,Male,47,"3,160","1,259",39.8
2021 to 2022,Male,48,"2,665","1,027",38.5
2021 to 2022,Male,49,"2,557",968,37.9
2021 to 2022,Male,50,"2,051",830,40.5
2021 to 2022,Male,51,"1,930",696,36.1
2021 to 2022,Male,52,"1,514",568,37.5
2021 to 2022,Male,53,"1,357",494,36.4
2021 to 2022,Male,54,"1,136",429,37.8
2021 to 2022,Male,55,977,393,40.2
2021 to 2022,Male,56,832,307,36.9
2021 to 2022,Male,57,663,266,40.1
2021 to 2022,Male,58,618,246,39.8
2021 to 2022,Male,59,453,163,36.0
2021 to 2022,Male,17 and under,"112,178","68,692",61.2
2021 to 2022,Male,60 and over,"2,131",809,38.0
2021 to 2022,Male,Total,"791,286","403,209",51.0
2021 to 2022,Male,Unknown,[c],[c],[c]
2021 to 2022,Total,18,"281,820","154,425",54.8
2021 to 2022,Total,19,"142,349","70,093",49.2
2021 to 2022,Total,20,"90,432","43,004",47.6
2021 to 2022,Total,21,"70,997","33,826",47.6
2021 to 2022,Total,22,"63,545","30,445",47.9
2021 to 2022,Total,23,"57,886","27,847",48.1
2021 to 2022,Total,24,"51,759","24,659",47.6
2021 to 2022,Total,25,"46,449","22,033",47.4
2021 to 2022,Total,26,"41,991","19,659",46.8
2021 to 2022,Total,27,"38,105","17,849",46.8
2021 to 2022,Total,28,"35,794","16,309",45.6
2021 to 2022,Total,29,"33,699","15,217",45.2
2021 to 2022,Total,30,"32,761","14,555",44.4
2021 to 2022,Total,31,"32,650","14,297",43.8
2021 to 2022,Total,32,"30,353","12,934",42.6
2021 to 2022,Total,33,"29,494","12,503",42.4
2021 to 2022,Total,34,"27,573","11,490",41.7
2021 to 2022,Total,35,"25,731","10,427",40.5
2021 to 2022,Total,36,"23,351","9,523",40.8
2021 to 2022,Total,37,"21,396","8,569",40.0
2021 to 2022,Total,38,"19,136","7,572",39.6
2021 to 2022,Total,39,"17,600","6,852",38.9
2021 to 2022,Total,40,"15,468","5,994",38.8
2021 to 2022,Total,41,"14,200","5,435",38.3
2021 to 2022,Total,42,"12,218","4,604",37.7
2021 to 2022,Total,43,"10,259","3,912",38.1
2021 to 2022,Total,44,"8,703","3,310",38.0
2021 to 2022,Total,45,"7,746","2,813",36.3
2021 to 2022,Total,46,"7,039","2,509",35.6
2021 to 2022,Total,47,"5,826","2,193",37.6
2021 to 2022,Total,48,"4,997","1,780",35.6
2021 to 2022,Total,49,"4,589","1,672",36.4
2021 to 2022,Total,50,"3,833","1,436",37.5
2021 to 2022,Total,51,"3,500","1,237",35.3
2021 to 2022,Total,52,"2,909","1,035",35.6
2021 to 2022,Total,53,"2,651",934,35.2
2021 to 2022,Total,54,"2,194",775,35.3
2021 to 2022,Total,55,"1,853",684,36.9
2021 to 2022,Total,56,"1,620",561,34.6
2021 to 2022,Total,57,"1,342",479,35.7
2021 to 2022,Total,58,"1,217",442,36.3
2021 to 2022,Total,59,911,313,34.4
2021 to 2022,Total,17 and under,"206,578","124,417",60.2
2021 to 2022,Total,60 and over,"3,775","1,283",34.0
2021 to 2022,Total,Total,"1,538,314","751,914",48.9
2021 to 2022,Total,Unknown,15,8,53.3
2022 to 2023,Female,17,"120,891","69,860",57.8
2022 to 2023,Female,18,"116,044","58,564",50.5
2022 to 2023,Female,19,"71,611","34,155",47.7
2022 to 2023,Female,20,"46,510","21,632",46.5
2022 to 2023,Female,21,"37,033","17,172",46.4
2022 to 2023,Female,22,"32,722","15,322",46.8
2022 to 2023,Female,23,"29,455","13,743",46.7
2022 to 2023,Female,24,"26,834","12,362",46.1
2022 to 2023,Female,25,"24,522","11,088",45.2
2022 to 2023,Female,26,"22,354","10,159",45.4
2022 to 2023,Female,27,"20,232","9,000",44.5
2022 to 2023,Female,28,"19,011","8,228",43.3
2022 to 2023,Female,29,"18,120","7,900",43.6
2022 to 2023,Female,30,"17,335","7,352",42.4
2022 to 2023,Female,31,"17,127","7,188",42.0
2022 to 2023,Female,32,"16,956","6,901",40.7
2022 to 2023,Female,33,"16,272","6,541",40.2
2022 to 2023,Female,34,"15,848","6,338",40.0
2022 to 2023,Female,35,"14,789","5,806",39.3
2022 to 2023,Female,36,"13,640","5,205",38.2
2022 to 2023,Female,37,"12,558","4,774",38.0
2022 to 2023,Female,38,"11,519","4,292",37.3
2022 to 2023,Female,39,"10,527","3,908",37.1
2022 to 2023,Female,40,"9,456","3,465",36.6
2022 to 2023,Female,41,"8,207","2,977",36.3
2022 to 2023,Female,42,"7,551","2,696",35.7
2022 to 2023,Female,43,"6,467","2,240",34.6
2022 to 2023,Female,44,"5,210","1,824",35.0
2022 to 2023,Female,45,"4,505","1,555",34.5
2022 to 2023,Female,46,"4,053","1,365",33.7
2022 to 2023,Female,47,"3,462","1,167",33.7
2022 to 2023,Female,48,"3,032","1,021",33.7
2022 to 2023,Female,49,"2,654",880,33.2
2022 to 2023,Female,50,"2,199",750,34.1
2022 to 2023,Female,51,"1,943",681,35.0
2022 to 2023,Female,52,"1,657",566,34.2
2022 to 2023,Female,53,"1,538",532,34.6
2022 to 2023,Female,54,"1,378",474,34.4
2022 to 2023,Female,55,"1,183",382,32.3
2022 to 2023,Female,56,979,338,34.5
2022 to 2023,Female,57,861,300,34.8
2022 to 2023,Female,58,689,227,32.9
2022 to 2023,Female,59,579,187,32.3
2022 to 2023,Female,60 and over,"2,130",672,31.5
2022 to 2023,Female,Total,"801,673","371,806",46.4
2022 to 2023,Female,Unknown,[c],[c],[c]
2022 to 2023,Male,17,"143,397","85,976",60.0
2022 to 2023,Male,18,"124,273","65,355",52.6
2022 to 2023,Male,19,"78,622","40,266",51.2
2022 to 2023,Male,20,"50,699","25,124",49.6
2022 to 2023,Male,21,"40,022","19,804",49.5
2022 to 2023,Male,22,"34,400","17,185",50.0
2022 to 2023,Male,23,"31,224","15,572",49.9
2022 to 2023,Male,24,"29,407","14,402",49.0
2022 to 2023,Male,25,"28,083","13,724",48.9
2022 to 2023,Male,26,"26,231","12,546",47.8
2022 to 2023,Male,27,"23,781","11,507",48.4
2022 to 2023,Male,28,"22,527","10,775",47.8
2022 to 2023,Male,29,"20,952","10,056",48.0
2022 to 2023,Male,30,"20,141","9,545",47.4
2022 to 2023,Male,31,"19,620","9,086",46.3
2022 to 2023,Male,32,"19,088","8,777",46.0
2022 to 2023,Male,33,"18,216","8,274",45.4
2022 to 2023,Male,34,"17,057","7,801",45.7
2022 to 2023,Male,35,"15,468","6,881",44.5
2022 to 2023,Male,36,"14,170","6,305",44.5
2022 to 2023,Male,37,"13,448","5,999",44.6
2022 to 2023,Male,38,"11,883","5,234",44.0
2022 to 2023,Male,39,"10,905","4,732",43.4
2022 to 2023,Male,40,"9,688","4,105",42.4
2022 to 2023,Male,41,"8,662","3,703",42.7
2022 to 2023,Male,42,"7,662","3,233",42.2
2022 to 2023,Male,43,"6,641","2,732",41.1
